Accession/Planting,Most Recent Inventory Date,Status,Inventory Note,Most Recent Measurement Date,Height,Height Unit,Measurement Note,Inventory Latitude,Inventory Longitude
2012-0307-01-42,2/26/2020 13:42,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:42,18.8,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4578912,-111.9439948
2012-0307-01-43,2/26/2020 13:42,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:42,14.9,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4580302,-111.9440731
2012-0307-01-44,2/26/2020 13:41,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:41,17.8,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.458129,-111.9441104
2012-0307-01-45,2/26/2020 13:41,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:41,23,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4581841,-111.9441855
2012-0307-01-46,2/26/2020 13:41,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:41,18.3,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4583551,-111.944189
2012-0307-01-47,2/26/2020 13:36,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:36,20.9,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4583597,-111.9442828
2012-0307-01-48,2/26/2020 13:36,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:36,18.3,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4583463,-111.9442913
2012-0307-01-5,2/26/2020 13:36,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:36,8.6,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4577783,-111.9427517
2012-0307-01-50,2/26/2020 13:41,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:41,19.6,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4581082,-111.944428
2012-0307-01-6,2/26/2020 13:36,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:36,15.2,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4575638,-111.9426825
2012-0307-01-7,2/26/2020 13:36,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:36,18.7,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4572513,-111.9430957
2012-0307-01-8,2/26/2020 13:36,Alive,"Measured to tallest arm. Saguaro Inventory 2020, VN, 2/26/20",2/26/2020 13:36,14.4,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4578971,-111.9432871
2012-0307-01-9,2/26/2020 13:36,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:36,15.9,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4580113,-111.9434301
